"","aircraft","dep_time","est_arr_time","flight_no","origin"
"480","A320","Sat 09:08PM","Sun 01:20AM"," AVA8","El Dorado Int'l (BOG / SKBO)"
"481","B744","Sat 08:03PM","Sun 12:36AM"," MPH7552","Mariscal Sucre Int'l (UIO / SEQM)"
"484","A319","Sat 10:16PM","Sun 02:29AM"," AVA126","El Dorado Int'l (BOG / SKBO)"
"485","A320","Sat 10:07PM","Sun 02:18AM"," ARE4364","El Dorado Int'l (BOG / SKBO)"
"487","B763","Sat 07:46PM","Sun 02:02AM"," N379CX","Jorge Chavez Int'l (LIM / SPJC)"
"488","B763","Sat 09:44PM","Sun 01:39AM"," AJT8640","Jose Maria Cordova Int'l (MDE / SKRG)"
"489","76V","Sat 08:30PM","Sun 01:29AM"," NFA8498","Mariscal Sucre Int'l (UIO / SEQM)"
"494","B744","Sat 07:33PM","Sat 11:34PM"," MPH6162","El Dorado Int'l (BOG / SKBO)"
"508","A332","Sat 06:20PM","Sat 10:41PM"," TPA4010","El Dorado Int'l (BOG / SKBO)"
"513","B763","Sat 05:24PM","Sat 10:01PM"," UPS385","Mariscal Sucre Int'l (UIO / SEQM)"
"536","MD11","Sat 07:26PM","Sat 09:02PM"," KYE514","Jorge Chavez Int'l (LIM / SPJC)"
"539","B763","Sat 04:48PM","Sat 08:46PM"," LAE2861","Jose Maria Cordova Int'l (MDE / SKRG)"
"547","B763","Sat 04:34PM","Sat 08:52PM"," UPS413","El Dorado Int'l (BOG / SKBO)"
"570","A319","Sat 03:52PM","Sat 07:52PM"," AAL1128","Jose Maria Cordova Int'l (MDE / SKRG)"
"598","B763","Sat 02:45PM","Sat 06:58PM"," ABX2246","El Dorado Int'l (BOG / SKBO)"
"599","A320","Sat 02:54PM","Sat 06:54PM"," VVC352","Jose Maria Cordova Int'l (MDE / SKRG)"
"600","A332","Sat 02:59PM","Sat 06:52PM"," TPA4014","Jose Maria Cordova Int'l (MDE / SKRG)"
"612","A319","Sat 02:35PM","Sat 06:47PM"," AAL916","El Dorado Int'l (BOG / SKBO)"
"615","A320","Sat 03:14PM","Sat 06:39PM"," AVA34","Rafael Nunez Int'l (CTG / SKCG)"
"620","B763","Sat 12:02PM","Sat 06:17PM"," LPE2462","Jorge Chavez Int'l (LIM / SPJC)"
"646","A330","Sat 11:36AM","Sat 05:52PM"," TPU962","Jorge Chavez Int'l (LIM / SPJC)"
